reactionId	solver	compartment	r ; p	ratelaw	parameter1	parameter2	parameter3	parameter4	parameter5	parameter6	parameter7	parameter8
vI81	Deterministic	Nucleus	nuc_prot_p_STAT1__p_STAT1__PTPN2_ ;	4.60E-06								
vI82	Deterministic	Cytoplasm	cyt_prot_pY_IFNG__IFNGR__JAK__IFNGR__JAK__SOCS1__STAT1_ ;	4.60E-06								
vI83	Deterministic	Cytoplasm	ext_prot_IFNG_ ;	4.60E-06								
vI84	Deterministic	Cytoplasm	cyt_prot_pY_IFNG__IFNGR__JAK__IFNGR__JAK__PTPN11__STAT1_ ;	4.60E-06								
vI85	Deterministic	Cytoplasm	cyt_prot_pY_IFNG__IFNGR__JAK__IFNGR__JAK__PTPN11__SOCS1_ ;	4.60E-06								
vI86	Deterministic	Cytoplasm	cyt_prot_IFNG__INFGR_ ;	4.60E-06								
vGac1	Stochastic	Nucleus	nuc_gene_i_TP53_ ; nuc_gene_a_TP53_	0.0005								
vGac2	Stochastic	Nucleus	nuc_gene_i_MDM2_ ; nuc_gene_a_MDM2_	0.0005								
vGac3	Stochastic	Nucleus	nuc_gene_i_PPM1D_ ; nuc_gene_a_PPM1D_	0.0005								
vGac4	Stochastic	Nucleus	nuc_gene_i_ATM_ ; nuc_gene_a_ATM_	0.0005								
vGac5	Stochastic	Nucleus	nuc_gene_i_ATR_ ; nuc_gene_a_ATR_	0.0005								
vGac6	Stochastic	Nucleus	nuc_gene_i_RB1_ ; nuc_gene_a_RB1_	0.0005								
vGac7	Stochastic	Nucleus	nuc_gene_i_E2F1_ ; nuc_gene_a_E2F1_	0.0005								
vGac8	Stochastic	Nucleus	nuc_gene_i_E2F2_ ; nuc_gene_a_E2F2_	0.0005								
vGac9	Stochastic	Nucleus	nuc_gene_i_E2F3_ ; nuc_gene_a_E2F3_	0.0005								
vGac10	Stochastic	Nucleus	nuc_gene_i_CCND1_ ; nuc_gene_a_CCND1_	0.0005								
vGac11	Stochastic	Nucleus	nuc_gene_i_CCND2_ ; nuc_gene_a_CCND2_	0.0005								
vGac12	Stochastic	Nucleus	nuc_gene_i_CCND3_ ; nuc_gene_a_CCND3_	0.0005								
vGac13	Stochastic	Nucleus	nuc_gene_i_CCNE1_ ; nuc_gene_a_CCNE1_	0.0005								
vGac14	Stochastic	Nucleus	nuc_gene_i_CCNE2_ ; nuc_gene_a_CCNE2_	0.0005								
vGac15	Stochastic	Nucleus	nuc_gene_i_SKP2_ ; nuc_gene_a_SKP2_	0.0005								
vGac16	Stochastic	Nucleus	nuc_gene_i_CDC25A_ ; nuc_gene_a_CDC25A_	0.0005								
vGac17	Stochastic	Nucleus	nuc_gene_i_CDC25B_ ; nuc_gene_a_CDC25B_	0.0005								
vGac18	Stochastic	Nucleus	nuc_gene_i_CDC25C_ ; nuc_gene_a_CDC25C_	0.0005								
vGac19	Stochastic	Nucleus	nuc_gene_i_CCNA2_ ; nuc_gene_a_CCNA2_	0.0005								
vGac20	Stochastic	Nucleus	nuc_gene_i_CDKN1B_ ; nuc_gene_a_CDKN1B_	0.0005								
vGac21	Stochastic	Nucleus	nuc_gene_i_CDH1_ ; nuc_gene_a_CDH1_	0.0005								
vGac22	Stochastic	Nucleus	nuc_gene_i_CCNB1_ ; nuc_gene_a_CCNB1_	0.0005								
vGac23	Stochastic	Nucleus	nuc_gene_i_CDC20_ ; nuc_gene_a_CDC20_	0.0005								
vGac24	Stochastic	Nucleus	nuc_gene_i_WEE1_ ; nuc_gene_a_WEE1_	0.0005								
vGac25	Stochastic	Nucleus	nuc_gene_i_CHEK1_ ; nuc_gene_a_CHEK1_	0.0005								
vGac26	Stochastic	Nucleus	nuc_gene_i_CDKN1A_ ; nuc_gene_a_CDKN1A_	0.0005								
vGac27	Stochastic	Nucleus	nuc_gene_i_CDK1_ ; nuc_gene_a_CDK1_	0.0005								
vGac28	Stochastic	Nucleus	nuc_gene_i_CDK2_ ; nuc_gene_a_CDK2_	0.0005								
vGac29	Stochastic	Nucleus	nuc_gene_i_CDK4_ ; nuc_gene_a_CDK4_	0.0005								
vGac30	Stochastic	Nucleus	nuc_gene_i_CDK6_ ; nuc_gene_a_CDK6_	0.0005								
vGac31	Stochastic	Nucleus	nuc_gene_i_TNFSF10_ ; nuc_gene_a_TNFSF10_	0.0005								
vGac32	Stochastic	Nucleus	nuc_gene_i_TNFRSF10A_ ; nuc_gene_a_TNFRSF10A_	0.0005								
vGac33	Stochastic	Nucleus	nuc_gene_i_TNFRSF10B_ ; nuc_gene_a_TNFRSF10B_	0.0005								
vGac34	Stochastic	Nucleus	nuc_gene_i_CFLAR_ ; nuc_gene_a_CFLAR_	0.0005								
vGac35	Stochastic	Nucleus	nuc_gene_i_CASP8_ ; nuc_gene_a_CASP8_	0.0005								
vGac36	Stochastic	Nucleus	nuc_gene_i_CASP10_ ; nuc_gene_a_CASP10_	0.0005								
vGac37	Stochastic	Nucleus	nuc_gene_i_BFAR_ ; nuc_gene_a_BFAR_	0.0005								
vGac38	Stochastic	Nucleus	nuc_gene_i_CASP3_ ; nuc_gene_a_CASP3_	0.0005								
vGac39	Stochastic	Nucleus	nuc_gene_i_CASP7_ ; nuc_gene_a_CASP7_	0.0005								
vGac40	Stochastic	Nucleus	nuc_gene_i_CASP6_ ; nuc_gene_a_CASP6_	0.0005								
vGac41	Stochastic	Nucleus	nuc_gene_i_XIAP_ ; nuc_gene_a_XIAP_	0.0005								
vGac42	Stochastic	Nucleus	nuc_gene_i_PARP1_ ; nuc_gene_a_PARP1_	0.0005								
vGac43	Stochastic	Nucleus	nuc_gene_i_BID_ ; nuc_gene_a_BID_	0.0005								
vGac44	Stochastic	Nucleus	nuc_gene_i_BCL2_ ; nuc_gene_a_BCL2_	0.0005								
vGac45	Stochastic	Nucleus	nuc_gene_i_BCL2L1_ ; nuc_gene_a_BCL2L1_	0.0005								
vGac46	Stochastic	Nucleus	nuc_gene_i_MCL1_ ; nuc_gene_a_MCL1_	0.0005								
vGac47	Stochastic	Nucleus	nuc_gene_i_BAX_ ; nuc_gene_a_BAX_	0.0005								
vGac48	Stochastic	Nucleus	nuc_gene_i_CYCS_ ; nuc_gene_a_CYCS_	0.0005								
vGac49	Stochastic	Nucleus	nuc_gene_i_DIABLO_ ; nuc_gene_a_DIABLO_	0.0005								
vGac50	Stochastic	Nucleus	nuc_gene_i_APAF1_ ; nuc_gene_a_APAF1_	0.0005								
vGac51	Stochastic	Nucleus	nuc_gene_i_CASP9_ ; nuc_gene_a_CASP9_	0.0005								
vGac52	Stochastic	Nucleus	nuc_gene_i_BAD_ ; nuc_gene_a_BAD_	0.0005								
vGac53	Stochastic	Nucleus	nuc_gene_i_BBC3_ ; nuc_gene_a_BBC3_	0.0005								
vGac54	Stochastic	Nucleus	nuc_gene_i_PMAIP1_ ; nuc_gene_a_PMAIP1_	0.0005								
vGac55	Stochastic	Nucleus	nuc_gene_i_BCL2L11_ ; nuc_gene_a_BCL2L11_	0.0005								
vGac56	Stochastic	Nucleus	nuc_gene_i_EGF_ ; nuc_gene_a_EGF_	0.0005								
vGac57	Stochastic	Nucleus	nuc_gene_i_NRG1_ ; nuc_gene_a_NRG1_	0.0005								
vGac58	Stochastic	Nucleus	nuc_gene_i_EGFR_ ; nuc_gene_a_EGFR_	0.0005								
vGac59	Stochastic	Nucleus	nuc_gene_i_ERBB2_ ; nuc_gene_a_ERBB2_	0.0005								
vGac60	Stochastic	Nucleus	nuc_gene_i_ERBB3_ ; nuc_gene_a_ERBB3_	0.0005								
vGac61	Stochastic	Nucleus	nuc_gene_i_ERBB4_ ; nuc_gene_a_ERBB4_	0.0005								
vGac62	Stochastic	Nucleus	nuc_gene_i_EGFRvIII_ ; nuc_gene_a_EGFRvIII_	0.0005								
vGac63	Stochastic	Nucleus	nuc_gene_i_MET_ ; nuc_gene_a_MET_	0.0005								
vGac64	Stochastic	Nucleus	nuc_gene_i_HGF_ ; nuc_gene_a_HGF_	0.0005								
vGac65	Stochastic	Nucleus	nuc_gene_i_PDGFRA_ ; nuc_gene_a_PDGFRA_	0.0005								
vGac66	Stochastic	Nucleus	nuc_gene_i_PDGFRB_ ; nuc_gene_a_PDGFRB_	0.0005								
vGac67	Stochastic	Nucleus	nuc_gene_i_PDGFB_ ; nuc_gene_a_PDGFB_	0.0005								
vGac68	Stochastic	Nucleus	nuc_gene_i_SPRY2_ ; nuc_gene_a_SPRY2_	0.0005								
vGac69	Stochastic	Nucleus	nuc_gene_i_CBL_ ; nuc_gene_a_CBL_	0.0005								
vGac70	Stochastic	Nucleus	nuc_gene_i_GRB2_ ; nuc_gene_a_GRB2_	0.0005								
vGac71	Stochastic	Nucleus	nuc_gene_i_PLCG1_ ; nuc_gene_a_PLCG1_	0.0005								
vGac72	Stochastic	Nucleus	nuc_gene_i_PLCG2_ ; nuc_gene_a_PLCG2_	0.0005								
vGac73	Stochastic	Nucleus	nuc_gene_i_PIK3CA_ ; nuc_gene_a_PIK3CA_	0.0005								
vGac74	Stochastic	Nucleus	nuc_gene_i_PIK3CB_ ; nuc_gene_a_PIK3CB_	0.0005								
vGac75	Stochastic	Nucleus	nuc_gene_i_PIK3CG_ ; nuc_gene_a_PIK3CG_	0.0005								
vGac76	Stochastic	Nucleus	nuc_gene_i_PIK3CD_ ; nuc_gene_a_PIK3CD_	0.0005								
vGac77	Stochastic	Nucleus	nuc_gene_i_PIK3R1_ ; nuc_gene_a_PIK3R1_	0.0005								
vGac78	Stochastic	Nucleus	nuc_gene_i_PIK3R2_ ; nuc_gene_a_PIK3R2_	0.0005								
vGac79	Stochastic	Nucleus	nuc_gene_i_PIK3R3_ ; nuc_gene_a_PIK3R3_	0.0005								
vGac80	Stochastic	Nucleus	nuc_gene_i_PIK3R4_ ; nuc_gene_a_PIK3R4_	0.0005								
vGac81	Stochastic	Nucleus	nuc_gene_i_PIK3C2A_ ; nuc_gene_a_PIK3C2A_	0.0005								
vGac82	Stochastic	Nucleus	nuc_gene_i_RASGRP1_ ; nuc_gene_a_RASGRP1_	0.0005								
vGac83	Stochastic	Nucleus	nuc_gene_i_RASGRP3_ ; nuc_gene_a_RASGRP3_	0.0005								
vGac84	Stochastic	Nucleus	nuc_gene_i_NRAS_ ; nuc_gene_a_NRAS_	0.0005								
vGac85	Stochastic	Nucleus	nuc_gene_i_KRAS_ ; nuc_gene_a_KRAS_	0.0005								
vGac86	Stochastic	Nucleus	nuc_gene_i_HRAS_ ; nuc_gene_a_HRAS_	0.0005								
vGac87	Stochastic	Nucleus	nuc_gene_i_NF1_ ; nuc_gene_a_NF1_	0.0005								
vGac88	Stochastic	Nucleus	nuc_gene_i_RAF1_ ; nuc_gene_a_RAF1_	0.0005								
vGac89	Stochastic	Nucleus	nuc_gene_i_BRAF_ ; nuc_gene_a_BRAF_	0.0005								
vGac90	Stochastic	Nucleus	nuc_gene_i_MAP2K1_ ; nuc_gene_a_MAP2K1_	0.0005								
vGac91	Stochastic	Nucleus	nuc_gene_i_MAP2K2_ ; nuc_gene_a_MAP2K2_	0.0005								
vGac92	Stochastic	Nucleus	nuc_gene_i_DUSP6_ ; nuc_gene_a_DUSP6_	0.0005								
vGac93	Stochastic	Nucleus	nuc_gene_i_RPS6KA1_ ; nuc_gene_a_RPS6KA1_	0.0005								
vGac94	Stochastic	Nucleus	nuc_gene_i_RPS6KA2_ ; nuc_gene_a_RPS6KA2_	0.0005								
vGac95	Stochastic	Nucleus	nuc_gene_i_RPS6KA3_ ; nuc_gene_a_RPS6KA3_	0.0005								
vGac96	Stochastic	Nucleus	nuc_gene_i_RPS6KA4_ ; nuc_gene_a_RPS6KA4_	0.0005								
vGac97	Stochastic	Nucleus	nuc_gene_i_DUSP1_ ; nuc_gene_a_DUSP1_	0.0005								
vGac98	Stochastic	Nucleus	nuc_gene_i_FOS_ ; nuc_gene_a_FOS_	0.0005								
vGac99	Stochastic	Nucleus	nuc_gene_i_JUN_ ; nuc_gene_a_JUN_	0.0005								
vGac100	Stochastic	Nucleus	nuc_gene_i_MYC_ ; nuc_gene_a_MYC_	0.0005								
vGac101	Stochastic	Nucleus	nuc_gene_i_CTNNB1_ ; nuc_gene_a_CTNNB1_	0.0005								
vGac102	Stochastic	Nucleus	nuc_gene_i_PTEN_ ; nuc_gene_a_PTEN_	0.0005								
vGac103	Stochastic	Nucleus	nuc_gene_i_AKT1_ ; nuc_gene_a_AKT1_	0.0005								
vGac104	Stochastic	Nucleus	nuc_gene_i_AKT2_ ; nuc_gene_a_AKT2_	0.0005								
vGac105	Stochastic	Nucleus	nuc_gene_i_PDPK1_ ; nuc_gene_a_PDPK1_	0.0005								
vGac106	Stochastic	Nucleus	nuc_gene_i_RICTOR_ ; nuc_gene_a_RICTOR_	0.0005								
vGac107	Stochastic	Nucleus	nuc_gene_i_MTOR_ ; nuc_gene_a_MTOR_	0.0005								
vGac108	Stochastic	Nucleus	nuc_gene_i_GSK3B_ ; nuc_gene_a_GSK3B_	0.0005								
vGac109	Stochastic	Nucleus	nuc_gene_i_TSC1_ ; nuc_gene_a_TSC1_	0.0005								
vGac110	Stochastic	Nucleus	nuc_gene_i_TSC2_ ; nuc_gene_a_TSC2_	0.0005								
vGac111	Stochastic	Nucleus	nuc_gene_i_PRKCA_ ; nuc_gene_a_PRKCA_	0.0005								
vGac112	Stochastic	Nucleus	nuc_gene_i_PRKCB_ ; nuc_gene_a_PRKCB_	0.0005								
vGac113	Stochastic	Nucleus	nuc_gene_i_PRKCG_ ; nuc_gene_a_PRKCG_	0.0005								
vGac114	Stochastic	Nucleus	nuc_gene_i_PRKCD_ ; nuc_gene_a_PRKCD_	0.0005								
vGac115	Stochastic	Nucleus	nuc_gene_i_PEBP1_ ; nuc_gene_a_PEBP1_	0.0005								
vGac116	Stochastic	Nucleus	nuc_gene_i_MAPK1_ ; nuc_gene_a_MAPK1_	0.0005								
vGac117	Stochastic	Nucleus	nuc_gene_i_MAPK3_ ; nuc_gene_a_MAPK3_	0.0005								
vGac118	Stochastic	Nucleus	nuc_gene_i_FOXO3_ ; nuc_gene_a_FOXO3_	0.0005								
vGac119	Stochastic	Nucleus	nuc_gene_i_RHEB_ ; nuc_gene_a_RHEB_	0.0005								
vGac120	Stochastic	Nucleus	nuc_gene_i_RPTOR_ ; nuc_gene_a_RPTOR_	0.0005								
vGac121	Stochastic	Nucleus	nuc_gene_i_RPS6KB1_ ; nuc_gene_a_RPS6KB1_	0.0005								
vGac122	Stochastic	Nucleus	nuc_gene_i_RPS6KB2_ ; nuc_gene_a_RPS6KB2_	0.0005								
vGac123	Stochastic	Nucleus	nuc_gene_i_EIF4EBP1_ ; nuc_gene_a_EIF4EBP1_	0.0005								
vGac124	Stochastic	Nucleus	nuc_gene_i_SOS1_ ; nuc_gene_a_SOS1_	0.0005								
vGac125	Stochastic	Nucleus	nuc_gene_i_CDKN2A_ ; nuc_gene_a_CDKN2A_	0.0005								
vGac126	Stochastic	Nucleus	nuc_gene_i_MDM4_ ; nuc_gene_a_MDM4_	0.0005								
vGac127	Stochastic	Nucleus	nuc_gene_i_FGFR1_ ; nuc_gene_a_FGFR1_	0.0005								
vGac128	Stochastic	Nucleus	nuc_gene_i_FGFR2_ ; nuc_gene_a_FGFR2_	0.0005								
vGac129	Stochastic	Nucleus	nuc_gene_i_FGF1_ ; nuc_gene_a_FGF1_	0.0005								
vGac130	Stochastic	Nucleus	nuc_gene_i_FGF2_ ; nuc_gene_a_FGF2_	0.0005								
vGac131	Stochastic	Nucleus	nuc_gene_i_EIF4E_ ; nuc_gene_a_EIF4E_	0.0005								
vGac132	Stochastic	Nucleus	nuc_gene_i_IRS1_ ; nuc_gene_a_IRS1_	0.0005								
vGac133	Stochastic	Nucleus	nuc_gene_i_IRS2_ ; nuc_gene_a_IRS2_	0.0005								
vGac134	Stochastic	Nucleus	nuc_gene_i_IGF1_ ; nuc_gene_a_IGF1_	0.0005								
vGac135	Stochastic	Nucleus	nuc_gene_i_IGF2_ ; nuc_gene_a_IGF2_	0.0005								
vGac136	Stochastic	Nucleus	nuc_gene_i_IGF1R_ ; nuc_gene_a_IGF1R_	0.0005								
vGac137	Stochastic	Nucleus	nuc_gene_i_MSH6_ ; nuc_gene_a_MSH6_	0.0005								
vGac138	Stochastic	Nucleus	nuc_gene_i_BRCA2_ ; nuc_gene_a_BRCA2_	0.0005								
vGac139	Stochastic	Nucleus	nuc_gene_i_MGMT_ ; nuc_gene_a_MGMT_	0.0005								
vGac140	Stochastic	Nucleus	nuc_gene_i_INSR_ ; nuc_gene_a_INSR_	0.0005								
vGac141	Stochastic	Nucleus	nuc_gene_i_INS_ ; nuc_gene_a_INS_	0.0005								
vGac142	Stochastic	Nucleus	nuc_gene_i_IFNG_ ; nuc_gene_a_IFNG_	0.0005								
vGac143	Stochastic	Nucleus	nuc_gene_i_IFNGR2_ ; nuc_gene_a_IFNGR2_	0.0005								
vGac144	Stochastic	Nucleus	nuc_gene_i_JAK1_ ; nuc_gene_a_JAK1_	0.0005								
vGac145	Stochastic	Nucleus	nuc_gene_i_STAT1_ ; nuc_gene_a_STAT1_	0.0005								
vGac146	Stochastic	Nucleus	nuc_gene_i_PTPN11_ ; nuc_gene_a_PTPN11_	0.0005								
vGac147	Stochastic	Nucleus	nuc_gene_i_PTPN2_ ; nuc_gene_a_PTPN2_	0.0005								
vGac148	Stochastic	Nucleus	nuc_gene_i_PTPN1_ ; nuc_gene_a_PTPN1_	0.0005								
vGac149	Stochastic	Nucleus	nuc_gene_i_SOCS1_ ; nuc_gene_a_SOCS1_	0.0005								
vGin1	Stochastic	Nucleus	nuc_gene_a_TP53_ ; nuc_gene_i_TP53_	0.005								
vGin2	Stochastic	Nucleus	nuc_gene_a_MDM2_ ; nuc_gene_i_MDM2_	0.005								
vGin3	Stochastic	Nucleus	nuc_gene_a_PPM1D_ ; nuc_gene_i_PPM1D_	0.005								
vGin4	Stochastic	Nucleus	nuc_gene_a_ATM_ ; nuc_gene_i_ATM_	0.005								
vGin5	Stochastic	Nucleus	nuc_gene_a_ATR_ ; nuc_gene_i_ATR_	0.005								
vGin6	Stochastic	Nucleus	nuc_gene_a_RB1_ ; nuc_gene_i_RB1_	0.005								
vGin7	Stochastic	Nucleus	nuc_gene_a_E2F1_ ; nuc_gene_i_E2F1_	0.005								
vGin8	Stochastic	Nucleus	nuc_gene_a_E2F2_ ; nuc_gene_i_E2F2_	0.005								
vGin9	Stochastic	Nucleus	nuc_gene_a_E2F3_ ; nuc_gene_i_E2F3_	0.005								
vGin10	Stochastic	Nucleus	nuc_gene_a_CCND1_ ; nuc_gene_i_CCND1_	0.005								
vGin11	Stochastic	Nucleus	nuc_gene_a_CCND2_ ; nuc_gene_i_CCND2_	0.005								
vGin12	Stochastic	Nucleus	nuc_gene_a_CCND3_ ; nuc_gene_i_CCND3_	0.005								
vGin13	Stochastic	Nucleus	nuc_gene_a_CCNE1_ ; nuc_gene_i_CCNE1_	0.005								
vGin14	Stochastic	Nucleus	nuc_gene_a_CCNE2_ ; nuc_gene_i_CCNE2_	0.005								
vGin15	Stochastic	Nucleus	nuc_gene_a_SKP2_ ; nuc_gene_i_SKP2_	0.005								
vGin16	Stochastic	Nucleus	nuc_gene_a_CDC25A_ ; nuc_gene_i_CDC25A_	0.005								
vGin17	Stochastic	Nucleus	nuc_gene_a_CDC25B_ ; nuc_gene_i_CDC25B_	0.005								
vGin18	Stochastic	Nucleus	nuc_gene_a_CDC25C_ ; nuc_gene_i_CDC25C_	0.005								
vGin19	Stochastic	Nucleus	nuc_gene_a_CCNA2_ ; nuc_gene_i_CCNA2_	0.005								
vGin20	Stochastic	Nucleus	nuc_gene_a_CDKN1B_ ; nuc_gene_i_CDKN1B_	0.005								
vGin21	Stochastic	Nucleus	nuc_gene_a_CDH1_ ; nuc_gene_i_CDH1_	0.005								
vGin22	Stochastic	Nucleus	nuc_gene_a_CCNB1_ ; nuc_gene_i_CCNB1_	0.005								
vGin23	Stochastic	Nucleus	nuc_gene_a_CDC20_ ; nuc_gene_i_CDC20_	0.005								
vGin24	Stochastic	Nucleus	nuc_gene_a_WEE1_ ; nuc_gene_i_WEE1_	0.005								
vGin25	Stochastic	Nucleus	nuc_gene_a_CHEK1_ ; nuc_gene_i_CHEK1_	0.005								
vGin26	Stochastic	Nucleus	nuc_gene_a_CDKN1A_ ; nuc_gene_i_CDKN1A_	0.005								
vGin27	Stochastic	Nucleus	nuc_gene_a_CDK1_ ; nuc_gene_i_CDK1_	0.005								
vGin28	Stochastic	Nucleus	nuc_gene_a_CDK2_ ; nuc_gene_i_CDK2_	0.005								
vGin29	Stochastic	Nucleus	nuc_gene_a_CDK4_ ; nuc_gene_i_CDK4_	0.005								
vGin30	Stochastic	Nucleus	nuc_gene_a_CDK6_ ; nuc_gene_i_CDK6_	0.005								
vGin31	Stochastic	Nucleus	nuc_gene_a_TNFSF10_ ; nuc_gene_i_TNFSF10_	0.005								
vGin32	Stochastic	Nucleus	nuc_gene_a_TNFRSF10A_ ; nuc_gene_i_TNFRSF10A_	0.005								
vGin33	Stochastic	Nucleus	nuc_gene_a_TNFRSF10B_ ; nuc_gene_i_TNFRSF10B_	0.005								
vGin34	Stochastic	Nucleus	nuc_gene_a_CFLAR_ ; nuc_gene_i_CFLAR_	0.005								
vGin35	Stochastic	Nucleus	nuc_gene_a_CASP8_ ; nuc_gene_i_CASP8_	0.005								
vGin36	Stochastic	Nucleus	nuc_gene_a_CASP10_ ; nuc_gene_i_CASP10_	0.005								
vGin37	Stochastic	Nucleus	nuc_gene_a_BFAR_ ; nuc_gene_i_BFAR_	0.005								
vGin38	Stochastic	Nucleus	nuc_gene_a_CASP3_ ; nuc_gene_i_CASP3_	0.005								
vGin39	Stochastic	Nucleus	nuc_gene_a_CASP7_ ; nuc_gene_i_CASP7_	0.005								
vGin40	Stochastic	Nucleus	nuc_gene_a_CASP6_ ; nuc_gene_i_CASP6_	0.005								
vGin41	Stochastic	Nucleus	nuc_gene_a_XIAP_ ; nuc_gene_i_XIAP_	0.005								
vGin42	Stochastic	Nucleus	nuc_gene_a_PARP1_ ; nuc_gene_i_PARP1_	0.005								
vGin43	Stochastic	Nucleus	nuc_gene_a_BID_ ; nuc_gene_i_BID_	0.005								
vGin44	Stochastic	Nucleus	nuc_gene_a_BCL2_ ; nuc_gene_i_BCL2_	0.005								
vGin45	Stochastic	Nucleus	nuc_gene_a_BCL2L1_ ; nuc_gene_i_BCL2L1_	0.005								
vGin46	Stochastic	Nucleus	nuc_gene_a_MCL1_ ; nuc_gene_i_MCL1_	0.005								
vGin47	Stochastic	Nucleus	nuc_gene_a_BAX_ ; nuc_gene_i_BAX_	0.005								
vGin48	Stochastic	Nucleus	nuc_gene_a_CYCS_ ; nuc_gene_i_CYCS_	0.005								
vGin49	Stochastic	Nucleus	nuc_gene_a_DIABLO_ ; nuc_gene_i_DIABLO_	0.005								
vGin50	Stochastic	Nucleus	nuc_gene_a_APAF1_ ; nuc_gene_i_APAF1_	0.005								
vGin51	Stochastic	Nucleus	nuc_gene_a_CASP9_ ; nuc_gene_i_CASP9_	0.005								
vGin52	Stochastic	Nucleus	nuc_gene_a_BAD_ ; nuc_gene_i_BAD_	0.005								
vGin53	Stochastic	Nucleus	nuc_gene_a_BBC3_ ; nuc_gene_i_BBC3_	0.005								
vGin54	Stochastic	Nucleus	nuc_gene_a_PMAIP1_ ; nuc_gene_i_PMAIP1_	0.005								
vGin55	Stochastic	Nucleus	nuc_gene_a_BCL2L11_ ; nuc_gene_i_BCL2L11_	0.005								
vGin56	Stochastic	Nucleus	nuc_gene_a_EGF_ ; nuc_gene_i_EGF_	0.005								
vGin57	Stochastic	Nucleus	nuc_gene_a_NRG1_ ; nuc_gene_i_NRG1_	0.005								
vGin58	Stochastic	Nucleus	nuc_gene_a_EGFR_ ; nuc_gene_i_EGFR_	0.005								
vGin59	Stochastic	Nucleus	nuc_gene_a_ERBB2_ ; nuc_gene_i_ERBB2_	0.005								
vGin60	Stochastic	Nucleus	nuc_gene_a_ERBB3_ ; nuc_gene_i_ERBB3_	0.005								
vGin61	Stochastic	Nucleus	nuc_gene_a_ERBB4_ ; nuc_gene_i_ERBB4_	0.005								
vGin62	Stochastic	Nucleus	nuc_gene_a_EGFRvIII_ ; nuc_gene_i_EGFRvIII_	0.005								
vGin63	Stochastic	Nucleus	nuc_gene_a_MET_ ; nuc_gene_i_MET_	0.005								
vGin64	Stochastic	Nucleus	nuc_gene_a_HGF_ ; nuc_gene_i_HGF_	0.005								
vGin65	Stochastic	Nucleus	nuc_gene_a_PDGFRA_ ; nuc_gene_i_PDGFRA_	0.005								
vGin66	Stochastic	Nucleus	nuc_gene_a_PDGFRB_ ; nuc_gene_i_PDGFRB_	0.005								
vGin67	Stochastic	Nucleus	nuc_gene_a_PDGFB_ ; nuc_gene_i_PDGFB_	0.005								
vGin68	Stochastic	Nucleus	nuc_gene_a_SPRY2_ ; nuc_gene_i_SPRY2_	0.005								
vGin69	Stochastic	Nucleus	nuc_gene_a_CBL_ ; nuc_gene_i_CBL_	0.005								
vGin70	Stochastic	Nucleus	nuc_gene_a_GRB2_ ; nuc_gene_i_GRB2_	0.005								
vGin71	Stochastic	Nucleus	nuc_gene_a_PLCG1_ ; nuc_gene_i_PLCG1_	0.005								
vGin72	Stochastic	Nucleus	nuc_gene_a_PLCG2_ ; nuc_gene_i_PLCG2_	0.005								
vGin73	Stochastic	Nucleus	nuc_gene_a_PIK3CA_ ; nuc_gene_i_PIK3CA_	0.005								
vGin74	Stochastic	Nucleus	nuc_gene_a_PIK3CB_ ; nuc_gene_i_PIK3CB_	0.005								
vGin75	Stochastic	Nucleus	nuc_gene_a_PIK3CG_ ; nuc_gene_i_PIK3CG_	0.005								
vGin76	Stochastic	Nucleus	nuc_gene_a_PIK3CD_ ; nuc_gene_i_PIK3CD_	0.005								
vGin77	Stochastic	Nucleus	nuc_gene_a_PIK3R1_ ; nuc_gene_i_PIK3R1_	0.005								
vGin78	Stochastic	Nucleus	nuc_gene_a_PIK3R2_ ; nuc_gene_i_PIK3R2_	0.005								
vGin79	Stochastic	Nucleus	nuc_gene_a_PIK3R3_ ; nuc_gene_i_PIK3R3_	0.005								
vGin80	Stochastic	Nucleus	nuc_gene_a_PIK3R4_ ; nuc_gene_i_PIK3R4_	0.005								
vGin81	Stochastic	Nucleus	nuc_gene_a_PIK3C2A_ ; nuc_gene_i_PIK3C2A_	0.005								
vGin82	Stochastic	Nucleus	nuc_gene_a_RASGRP1_ ; nuc_gene_i_RASGRP1_	0.005								
vGin83	Stochastic	Nucleus	nuc_gene_a_RASGRP3_ ; nuc_gene_i_RASGRP3_	0.005								
vGin84	Stochastic	Nucleus	nuc_gene_a_NRAS_ ; nuc_gene_i_NRAS_	0.005								
vGin85	Stochastic	Nucleus	nuc_gene_a_KRAS_ ; nuc_gene_i_KRAS_	0.005								
vGin86	Stochastic	Nucleus	nuc_gene_a_HRAS_ ; nuc_gene_i_HRAS_	0.005								
vGin87	Stochastic	Nucleus	nuc_gene_a_NF1_ ; nuc_gene_i_NF1_	0.005								
vGin88	Stochastic	Nucleus	nuc_gene_a_RAF1_ ; nuc_gene_i_RAF1_	0.005								
vGin89	Stochastic	Nucleus	nuc_gene_a_BRAF_ ; nuc_gene_i_BRAF_	0.005								
vGin90	Stochastic	Nucleus	nuc_gene_a_MAP2K1_ ; nuc_gene_i_MAP2K1_	0.005								
vGin91	Stochastic	Nucleus	nuc_gene_a_MAP2K2_ ; nuc_gene_i_MAP2K2_	0.005								
vGin92	Stochastic	Nucleus	nuc_gene_a_DUSP6_ ; nuc_gene_i_DUSP6_	0.005								
vGin93	Stochastic	Nucleus	nuc_gene_a_RPS6KA1_ ; nuc_gene_i_RPS6KA1_	0.005								
